# VHH-NNLO grid scan points
# process: ZHH
# energy_tev: 13.6
# scan_axes: kappa_lambda,kappa_z
# scan_x_keys: kappa_lambda,kappa_z
# windows: kappa_lambda=[-0.7,6.1]; kappa_z=[0.9,1.2]
# n_points_per_axis: 40
# n_points_total: 1600
# fixed_kappa: 1,1,1,1
#
kappa_lambda	kappa_z	sigma_lo	sigma_nnlo	k	sigma_heft_over_sm_lo	sigma_heft_over_sm_nnlo
-0.1769230769	1.169230769	0.2089253321	0.3288490114	1.574002579	0.7187096964	0.8294523347
-0.1769230769	1.176923077	0.2121776504	0.3344869014	1.576447382	0.7298977733	0.8436727242
-0.1769230769	1.184615385	0.215508165	0.3402448476	1.578802583	0.7413548481	0.8581959301
-0.1769230769	1.192307692	0.2189179699	0.3461240885	1.581067505	0.7530846839	0.8730250765
-0.1769230769	1.2	0.2224081662	0.3521258724	1.583241652	0.7650910686	0.8881633115
-0.002564102564	0.9	0.150498743	0.2149745998	1.428414587	0.517720397	0.5422281275
-0.002564102564	0.9076923077	0.1517367299	0.2172314223	1.431633741	0.5219791108	0.5479204867
-0.002564102564	0.9153846154	0.1530183195	0.2195689328	1.434919254	0.5263878193	0.5538163644
-0.002564102564	0.9230769231	0.154344352	0.2219880409	1.43826475	0.5309494127	0.5599180548
-0.002564102564	0.9307692308	0.1557156747	0.2244896657	1.441663893	0.5356668057	0.5662278762
-0.002564102564	0.9384615385	0.1571331419	0.2270747359	1.445110389	0.5405429374	0.572748171
-0.002564102564	0.9461538462	0.1585976151	0.2297441895	1.448598009	0.5455807712	0.5794813053
-0.002564102564	0.9538461538	0.1601099629	0.2324989744	1.452120594	0.550783295	0.5864296696
-0.002564102564	0.9615384615	0.1616710609	0.2353400476	1.455672068	0.556153521	0.593595678
-0.002564102564	0.9692307692	0.1632817918	0.2382683758	1.459246455	0.5616944858	0.600981769
-0.002564102564	0.9769230769	0.1649430454	0.2412849353	1.462837883	0.5674092504	0.6085904047
-0.002564102564	0.9846153846	0.1666557186	0.2443907119	1.466440599	0.5733009002	0.6164240715
-0.002564102564	0.9923076923	0.1684207156	0.2475867007	1.470048977	0.5793725449	0.6244852798
-0.002564102564	1	0.1702389472	0.2508739065	1.47365753	0.5856273188	0.6327765638
-0.002564102564	1.007692308	0.1721113317	0.2542533436	1.477260916	0.5920683804	0.6413004818
-0.002564102564	1.015384615	0.1740387945	0.2577260359	1.480853948	0.5986989125	0.6500596162
-0.002564102564	1.023076923	0.1760222677	0.2612930165	1.4844316	0.6055221227	0.6590565733
-0.002564102564	1.030769231	0.1780626909	0.2649553284	1.487989017	0.6125412425	0.6682939833
-0.002564102564	1.038461538	0.1801610106	0.268714024	1.491521518	0.6197595281	0.6777745007
-0.002564102564	1.046153846	0.1823181804	0.2725701649	1.495024601	0.62718026	0.6875008038
-0.002564102564	1.053846154	0.1845351611	0.2765248228	1.498493952	0.634806743	0.6974755948
-0.002564102564	1.061538462	0.1868129204	0.2805790783	1.501925444	0.6426423065	0.7077016001
-0.002564102564	1.069230769	0.1891524332	0.2847340221	1.505315143	0.650690304	0.7181815701
-0.002564102564	1.076923077	0.1915546816	0.2889907539	1.508659311	0.6589541137	0.7289182791
-0.002564102564	1.084615385	0.1940206545	0.2933503832	1.511954405	0.6674371379	0.7399145254
-0.002564102564	1.092307692	0.1965513482	0.297814029	1.515197081	0.6761428035	0.7511731314
-0.002564102564	1.1	0.1991477658	0.3023828198	1.518384194	0.6850745618	0.7626969435
-0.002564102564	1.107692308	0.2018109178	0.3070578936	1.521512795	0.6942358882	0.7744888319
-0.002564102564	1.115384615	0.2045418216	0.3118403978	1.524580134	0.7036302828	0.786551691
-0.002564102564	1.123076923	0.2073415016	0.3167314895	1.527583658	0.71326127	0.7988884392
-0.002564102564	1.130769231	0.2102109896	0.3217323353	1.530521006	0.7231323985	0.8115020188
-0.002564102564	1.138461538	0.2131513241	0.3268441112	1.533390011	0.7332472415	0.8243953963
-0.002564102564	1.146153846	0.216163551	0.3320680027	1.536188692	0.7436093965	0.8375715619
-0.002564102564	1.153846154	0.2192487231	0.337405205	1.538915257	0.7542224854	0.85103353
-0.002564102564	1.161538462	0.2224079005	0.3428569227	1.541568092	0.7650901546	0.8647843391
-0.002564102564	1.169230769	0.2256421501	0.3484243699	1.544145762	0.7762160748	0.8788270514
-0.002564102564	1.176923077	0.2289525462	0.3541087702	1.546647007	0.7876039411	0.8931647534
-0.002564102564	1.184615385	0.2323401699	0.3599113568	1.549070731	0.7992574729	0.9078005554
-0.002564102564	1.192307692	0.2358061095	0.3658333724	1.551416005	0.811180414	0.9227375918
-0.002564102564	1.2	0.2393514606	0.3718760691	1.553682055	0.8233765329	0.9379790209
0.1717948718	0.9	0.1659949233	0.2334251782	1.406218778	0.5710277436	0.5887658235
0.1717948718	0.9076923077	0.1673449931	0.2358276357	1.409230306	0.5756720257	0.5948255163
0.1717948718	0.9153846154	0.1687380961	0.2383091639	1.412302079	0.5804643438	0.6010846484
0.1717948718	0.9230769231	0.1701750669	0.2408706765	1.415428716	0.5854075686	0.6075455241
0.1717948718	0.9307692308	0.1716567472	0.2435130966	1.418604864	0.5905045954	0.614210472
0.1717948718	0.9384615385	0.1731839857	0.2462373569	1.42182521	0.5957583438	0.6210818446
0.1717948718	0.9461538462	0.1747576382	0.2490443996	1.425084489	0.6011717577	0.6281620182
0.1717948718	0.9538461538	0.1763785676	0.2519351764	1.428377494	0.6067478056	0.6354533935
0.1717948718	0.9615384615	0.1780476439	0.2549106485	1.431699083	0.6124894802	0.6429583949
0.1717948718	0.9692307692	0.179765744	0.2579717867	1.435044191	0.6183997988	0.6506794708
0.1717948718	0.9769230769	0.1815337523	0.2611195711	1.438407832	0.6244818028	0.6586190938
0.1717948718	0.9846153846	0.18335256	0.2643549917	1.441785114	0.6307385581	0.6667797603
0.1717948718	0.9923076923	0.1852230653	0.2676790476	1.445171243	0.6371731552	0.6751639909
0.1717948718	1	0.1871461738	0.2710927477	1.448561529	0.6437887087	0.68377433
0.1717948718	1.007692308	0.189122798	0.2745971102	1.451951394	0.6505883578	0.6926133461
0.1717948718	1.015384615	0.1911538574	0.2781931631	1.455336382	0.6575752659	0.7016836318
0.1717948718	1.023076923	0.1932402788	0.2818819437	1.458712156	0.6647526209	0.7109878035
0.1717948718	1.030769231	0.1953829959	0.2856644989	1.462074514	0.6721236351	0.7205285018
0.1717948718	1.038461538	0.1975829497	0.2895418849	1.465419387	0.6796915452	0.7303083911
0.1717948718	1.046153846	0.1998410881	0.2935151679	1.468742843	0.6874596121	0.74033016
0.1717948718	1.053846154	0.2021583662	0.297585423	1.472041097	0.6954311213	0.750596521
0.1717948718	1.061538462	0.204535746	0.3017537354	1.475310508	0.7036093827	0.7611102106
0.1717948718	1.069230769	0.206974197	0.3060211994	1.478547586	0.7119977304	0.7718739892
0.1717948718	1.076923077	0.2094746953	0.310388919	1.481748994	0.7205995231	0.7828906416
0.1717948718	1.084615385	0.2120382244	0.3148580077	1.484911546	0.7294181437	0.7941629761
0.1717948718	1.092307692	0.2146657748	0.3194295885	1.488032215	0.7384569996	0.8056938253
0.1717948718	1.1	0.2173583442	0.3241047939	1.491108129	0.7477195226	0.8174860458
0.1717948718	1.107692308	0.2201169371	0.328884766	1.494136572	0.7572091688	0.829542518
0.1717948718	1.115384615	0.2229425654	0.3337706562	1.497114988	0.7669294187	0.8418661465
0.1717948718	1.123076923	0.2258362479	0.3387636257	1.500040976	0.7768837773	0.8544598598
0.1717948718	1.130769231	0.2287990106	0.343864845	1.50291229	0.787075774	0.8673266106
0.1717948718	1.138461538	0.2318318865	0.3490754942	1.505726841	0.7975089623	0.8804693753
0.1717948718	1.146153846	0.2349359158	0.354396763	1.508482693	0.8081869205	0.8938911544
0.1717948718	1.153846154	0.2381121457	0.3598298504	1.51117806	0.8191132509	0.9075949726
0.1717948718	1.161538462	0.2413616305	0.3653759652	1.513811306	0.8302915804	0.9215838784
0.1717948718	1.169230769	0.2446854316	0.3710363254	1.516380943	0.8417255604	0.9358609443
0.1717948718	1.176923077	0.2480846174	0.3768121588	1.518885623	0.8534188664	0.9504292669
0.1717948718	1.184615385	0.2515602636	0.3827047025	1.521324143	0.8653751984	0.9652919668
0.1717948718	1.192307692	0.2551134529	0.3887152033	1.523695434	0.877598281	0.9804521884
0.1717948718	1.2	0.258745275	0.3948449174	1.525998561	0.8900918628	0.9959131005
0.3461538462	0.9	0.1828695212	0.2535882149	1.386716678	0.6290768895	0.6396228347
0.3461538462	0.9076923077	0.1843553371	0.2561674436	1.389530933	0.6341881429	0.6461283956
0.3461538462	0.9153846154	0.1858838183	0.2588245197	1.392399414	0.6394461662	0.6528303101
0.3461538462	0.9230769231	0.1874557937	0.2615603607	1.395317561	0.6448538108	0.6597308928
0.3461538462	0.9307692308	0.1890720992	0.2643758941	1.398280842	0.6504139525	0.6668324823
0.3461538462	0.9384615385	0.1907335779	0.2672720563	1.401284762	0.6561294914	0.6741374413
0.3461538462	0.9461538462	0.19244108	0.2702497938	1.404324865	0.6620033522	0.6816481565
0.3461538462	0.9538461538	0.1941954627	0.2733100621	1.407396745	0.6680384837	0.6893670385
0.3461538462	0.9615384615	0.1959975904	0.2764538267	1.410496048	0.6742378593	0.6972965221
0.3461538462	0.9692307692	0.1978483344	0.2796820621	1.413618482	0.6806044767	0.7054390658
0.3461538462	0.9769230769	0.1997485732	0.2829957528	1.416759821	0.687141358	0.7137971524
0.3461538462	0.9846153846	0.2016991925	0.2863958926	1.419915911	0.6938515497	0.7223732884
0.3461538462	0.9923076923	0.203701085	0.2898834848	1.423082674	0.7007381226	0.7311700047
0.3461538462	1	0.2057551504	0.2934595421	1.426256118	0.707804172	0.7401898559
0.3461538462	1.007692308	0.2078622956	0.2971250871	1.429432337	0.7150528177	0.7494354206
0.3461538462	1.015384615	0.2100234346	0.3008811515	1.432607519	0.7224872035	0.7589093016
0.3461538462	1.023076923	0.2122394884	0.3047287768	1.435777946	0.7301104981	0.7686141255
0.3461538462	1.030769231	0.2145113851	0.3086690138	1.438940006	0.7379258941	0.778552543
0.3461538462	1.038461538	0.21684006	0.3127029229	1.442090188	0.7459366087	0.7887272288
0.3461538462	1.046153846	0.2192264554	0.3168315742	1.445225092	0.7541458837	0.7991408817
0.3461538462	1.053846154	0.2216715207	0.3210560471	1.448341429	0.762556985	0.8097962243
0.3461538462	1.061538462	0.2241762123	0.3253774305	1.451436025	0.7711732028	0.8206960033
0.3461538462	1.069230769	0.226741494	0.3297968229	1.454505821	0.7799978521	0.8318429894
0.3461538462	1.076923077	0.2293683362	0.3343153324	1.457547881	0.789034272	0.8432399774
0.3461538462	1.084615385	0.2320577169	0.3389340764	1.460559385	0.7982858259	0.8548897859
0.3461538462	1.092307692	0.2348106209	0.343654182	1.46353764	0.8077559018	0.8667952577
0.3461538462	1.1	0.23762804	0.3484767858	1.466480074	0.8174479121	0.8789592594
0.3461538462	1.107692308	0.2405109734	0.3534030337	1.469384239	0.8273652934	0.8913846818
0.3461538462	1.115384615	0.2434604271	0.3584340815	1.472247813	0.8375115068	0.9040744397
0.3461538462	1.123076923	0.2464774145	0.3635710942	1.475068598	0.8478900378	0.9170314716
0.3461538462	1.130769231	0.2495629556	0.3688152464	1.47784452	0.8585043963	0.9302587405
0.3461538462	1.138461538	0.2527180781	0.3741677222	1.48057363	0.8693581165	0.9437592329
0.3461538462	1.146153846	0.2559438163	0.3796297154	1.483254102	0.880454757	0.9575359597
0.3461538462	1.153846154	0.2592412118	0.385202429	1.485884233	0.8917979009	0.9715919555
0.3461538462	1.161538462	0.2626113132	0.3908870758	1.488462439	0.9033911557	0.9859302791
0.3461538462	1.169230769	0.2660551764	0.396684878	1.490987258	0.915238153	1.000554013
0.3461538462	1.176923077	0.2695738641	0.4025970672	1.493457344	0.9273425492	1.015466265
0.3461538462	1.184615385	0.2731684463	0.4086248847	1.495871467	0.9397080248	1.030670164
0.3461538462	1.192307692	0.2768400001	0.4147695813	1.498228512	0.9523382847	1.046168867
0.3461538462	1.2	0.2805896094	0.4210324172	1.500527472	0.9652370584	1.06196555
0.5205128205	0.9	0.2011225365	0.2754637099	1.369631244	0.6918678348	0.6947991611
0.5205128205	0.9076923077	0.202767762	0.278250846	1.372263733	0.6975274622	0.7018291247
0.5205128205	0.9153846154	0.2044554862	0.281115	1.374944763	0.7033332863	0.7090533496
0.5205128205	0.9230769231	0.2061865322	0.2840570936	1.377670455	0.709288139	0.7164741608
0.5205128205	0.9307692308	0.2079617305	0.2870780581	1.380436955	0.7153948768	0.724093907
0.5205128205	0.9384615385	0.2097819185	0.2901788341	1.383240444	0.7216563804	0.7319149612
0.5205128205	0.9461538462	0.2116479405	0.293360372	1.38607714	0.7280755547	0.7399397201
0.5205128205	0.9538461538	0.2135606483	0.2966236316	1.3889433	0.7346553294	0.7481706047
