# VHH-NNLO multi-axis scan points
# process: ZHH
# energy_tev: 14
# scan_axes: kappa_lambda,kappa_z
# windows: kappa_lambda=[-0.7,6.1]; kappa_z=[0.9,1.2]
# n_points: kappa_lambda:40,kappa_z:40
# fixed_kappa: 1,1,1,1
#
kappa_lambda	kappa_z	sigma_lo	sigma_nnlo	k	sigma_heft_over_sm_lo	sigma_heft_over_sm_nnlo	sigma_lo_pdfas	sigma_lo_sup	sigma_lo_inf	sigma_nnlo_pdfas	sigma_nnlo_sup	sigma_nnlo_inf
5.576923077	1.184615385	2.132991552	2.774112693	1.30057369	6.981935168	6.647239835	0.04232090884	0.01469797336	0.02055540178	0.05298531408	0.06462910232	0.05187225766
5.576923077	1.192307692	2.155739185	2.807215348	1.302205465	7.056395143	6.726559355	0.04276076315	0.01478450306	0.02071383042	0.05354798721	0.06630393572	0.05315564417
5.576923077	1.2	2.178648926	2.840603216	1.303837063	7.131385747	6.806562293	0.04320382504	0.01487180727	0.02087350699	0.05411512888	0.06800464736	0.05445843589
5.751282051	0.9	1.459666165	1.814113583	1.242827728	4.777934786	4.346920767	0.02937092998	0.01238768814	0.01607421722	0.03656277918	0.02076315974	0.01805084215
5.751282051	0.9076923077	1.477945033	1.838808986	1.244166018	4.837767121	4.4060951	0.02972406849	0.01246364292	0.01620748763	0.0370057416	0.02156670222	0.01868402843
5.751282051	0.9153846154	1.49636136	1.863753706	1.245523813	4.898049404	4.465866837	0.03007983191	0.01253976524	0.01634140358	0.03745215593	0.02239446653	0.01933530597
5.751282051	0.9230769231	1.514915837	1.88894885	1.246900194	4.958783895	4.526238633	0.03043823559	0.01261606651	0.0164759772	0.03790204877	0.02324652887	0.02000473321
5.751282051	0.9307692308	1.533609163	1.914395536	1.248294274	5.019972881	4.587213164	0.03079929511	0.01269255839	0.01661122087	0.03835544705	0.02412296569	0.02069236883
5.751282051	0.9384615385	1.552442043	1.94009489	1.249705198	5.081618671	4.648793133	0.03116302618	0.01276925281	0.01674714719	0.03881237805	0.02502385372	0.02139827173
5.751282051	0.9461538462	1.571415191	1.966048052	1.251132141	5.1437236	4.710981265	0.03152944472	0.0128461619	0.01688376899	0.03927286938	0.02594926997	0.02212250101
5.751282051	0.9538461538	1.590529327	1.992256167	1.252574305	5.206290028	4.773780311	0.03189856682	0.01292329808	0.01702109935	0.03973694899	0.02689929169	0.02286511603
5.751282051	0.9615384615	1.609785181	2.018720395	1.254030922	5.269320339	4.837193045	0.03227040875	0.01300067398	0.01715915158	0.04020464513	0.02787399642	0.02362617635
5.751282051	0.9692307692	1.629183487	2.045441903	1.255501249	5.332816942	4.901222264	0.03264498697	0.01307830249	0.01729793922	0.04067598638	0.02887346194	0.02440574176
5.751282051	0.9769230769	1.64872499	2.072421869	1.256984567	5.396782271	4.965870793	0.03302231812	0.01315619675	0.01743747606	0.04115100161	0.02989776632	0.02520387228
5.751282051	0.9846153846	1.66841044	2.099661481	1.258480186	5.461218784	5.031141478	0.033402419	0.01323437013	0.01757777612	0.04162971999	0.03094698789	0.02602062814
5.751282051	0.9923076923	1.688240597	2.127161937	1.259987434	5.526128963	5.09703719	0.03378530661	0.01331283626	0.01771885365	0.04211217101	0.03202120526	0.02685606981
5.751282051	1	1.708216225	2.154924447	1.261505666	5.591515317	5.163560824	0.03417099814	0.01339160899	0.01786072313	0.04259838441	0.03312049727	0.02771025796
5.751282051	1.007692308	1.728338098	2.182950228	1.263034258	5.657380376	5.230715301	0.03455951093	0.01347070245	0.01800339931	0.04308839023	0.03424494306	0.02858325352
5.751282051	1.015384615	1.748606998	2.211240508	1.264572606	5.7237267	5.298503564	0.03495086254	0.01355013098	0.01814689714	0.04358221879	0.03539462203	0.0294751176
5.751282051	1.023076923	1.769023714	2.239796528	1.266120126	5.790556867	5.366928581	0.03534507068	0.01362990919	0.01829123181	0.04407990068	0.03656961384	0.03038591156
5.751282051	1.030769231	1.789589041	2.268619534	1.267676256	5.857873486	5.435993345	0.03574215325	0.01371005191	0.01843641876	0.04458146675	0.03776999843	0.031315697
5.751282051	1.038461538	1.810303783	2.297710787	1.26924045	5.925679186	5.505700871	0.03614212835	0.01379057425	0.01858247367	0.04508694811	0.03899585598	0.0322645357
5.751282051	1.046153846	1.831168751	2.327071555	1.270812181	5.993976623	5.576054202	0.03654501424	0.01387149154	0.01872941244	0.04559637614	0.04024726697	0.03323248969
5.751282051	1.053846154	1.852184764	2.356703117	1.272390942	6.062768478	5.647056401	0.03695082936	0.01395281934	0.0188772512	0.04610978247	0.04152431212	0.03421962123
5.751282051	1.061538462	1.873352649	2.386606763	1.273976239	6.132057454	5.718710558	0.03735959235	0.01403457349	0.01902600635	0.04662719896	0.04282707244	0.03522599279
5.751282051	1.069230769	1.89467324	2.416783792	1.275567597	6.201846281	5.791019786	0.03777132203	0.01411677005	0.01917569449	0.04714865775	0.04415562919	0.03625166707
5.751282051	1.076923077	1.916147377	2.447235513	1.277164556	6.272137714	5.863987224	0.03818603737	0.01419942534	0.01932633247	0.0476741912	0.04551006389	0.03729670699
5.751282051	1.084615385	1.937775909	2.477963246	1.27876667	6.342934531	5.937616032	0.03860375758	0.0142825559	0.01947793738	0.0482038319	0.04689045836	0.03836117569
5.751282051	1.092307692	1.959559694	2.508968321	1.280373509	6.414239535	6.011909397	0.039024502	0.01436617855	0.01963052654	0.0487376127	0.04829689465	0.03944513654
5.751282051	1.1	1.981499594	2.540252077	1.281984657	6.486055554	6.086870529	0.03944829018	0.01445031033	0.0197841175	0.04927556666	0.0497294551	0.04054865314
5.751282051	1.107692308	2.003596482	2.571815864	1.28359971	6.558385442	6.162502663	0.03987514184	0.01453496852	0.01993872808	0.04981772709	0.0511882223	0.0416717893
5.751282051	1.115384615	2.025851237	2.603661042	1.28521828	6.631232075	6.238809058	0.0403050769	0.01462017066	0.02009437628	0.05036412752	0.05267327913	0.04281460906
5.751282051	1.123076923	2.048264744	2.635788982	1.286839989	6.704598355	6.315792996	0.04073811545	0.01470593454	0.02025108038	0.05091480168	0.05418470871	0.04397717668
5.751282051	1.130769231	2.070837899	2.668201063	1.288464473	6.778487209	6.393457784	0.04117427776	0.01479227817	0.02040885889	0.05146978356	0.05572259444	0.04515955666
5.751282051	1.138461538	2.093571602	2.700898676	1.290091379	6.852901589	6.471806755	0.0416135843	0.01487921983	0.02056773053	0.05202910734	0.05728702	0.0463618137
5.751282051	1.146153846	2.116466763	2.73388322	1.291720365	6.927844469	6.550843263	0.0420560557	0.01496677802	0.02072771428	0.05259280743	0.05887806931	0.04758401273
5.751282051	1.153846154	2.139524299	2.767156108	1.293351101	7.003318852	6.630570689	0.0425017128	0.01505497151	0.02088882936	0.05316091845	0.06049582657	0.04882621892
5.751282051	1.161538462	2.162745134	2.800718759	1.294983267	7.079327761	6.710992436	0.04295057661	0.0151438193	0.02105109521	0.05373347522	0.06214037626	0.05008849764
5.751282051	1.169230769	2.186130199	2.834572604	1.296616554	7.155874247	6.792111933	0.04340266833	0.01523334063	0.0212145315	0.0543105128	0.0638118031	0.05137091451
5.751282051	1.176923077	2.209680434	2.868719084	1.298250661	7.232961385	6.873932633	0.04385800934	0.01532355499	0.02137915816	0.05489206643	0.0655101921	0.05267353534
5.751282051	1.184615385	2.233396785	2.90315965	1.2998853	7.310592273	6.956458012	0.04431662119	0.01541448213	0.02154499535	0.05547817157	0.06723562852	0.0539964262
5.751282051	1.192307692	2.257280208	2.937895762	1.301520189	7.388770036	7.03969157	0.04477852565	0.01550614202	0.02171206344	0.05606886387	0.0689881979	0.05533965336
